	description	short_description
PF06751	Ethanolamine ammonia lyase large subunit (EutB)	EutB
PF05985	Ethanolamine ammonia-lyase light chain (EutC)	EutC
PF04346	Ethanolamine utilisation protein, EutH	EutH
PF03319	Ethanolamine utilisation protein EutN/carboxysome	EutN_CcmL
PF06249	Ethanolamine utilisation protein EutQ	EutQ
PF12297	Ellis van Creveld protein 2 like protein	EVC2_like
PF01878	EVE domain	EVE
PF05399	Ectropic viral integration site 2A protein (EVI2A)	EVI2A
PF04777	Erv1 / Alr family	Evr1_Alr
PF02472	Biopolymer transport protein ExbD/TolR	ExbD
PF07825	Excisionase-like protein	Exc
PF05901	Excalibur calcium-binding domain	Excalibur
PF09810	Exonuclease V - a 5' deoxyribonuclease	Exo5
PF03081	Exo70 exocyst complex subunit	Exo70
PF06055	Exopolysaccharide synthesis, ExoD	ExoD
PF06630	Enterobacterial exodeoxyribonuclease VIII	Exonuc_VIII
PF02601	Exonuclease VII, large subunit	Exonuc_VII_L
PF02609	Exonuclease VII small subunit	Exonuc_VII_S
PF04257	Exodeoxyribonuclease V, gamma subunit	Exonuc_V_gamma
PF08411	Exonuclease C-terminal	Exonuc_X-T_C
PF10447	Exosome component EXOSC1/CSL4	EXOSC1
PF09721	Transmembrane exosortase (Exosortase_EpsH)	Exosortase_EpsH
PF03016	Exostosin family	Exostosin
PF09101	Exotoxin A binding	Exotox-A_bind
PF09009	Exotoxin A catalytic	Exotox-A_cataly
PF09102	Exotoxin A, targeting	Exotox-A_target
PF03372	Endonuclease/Exonuclease/phosphatase family	Exo_endo_phos
PF14529	Endonuclease-reverse transcriptase	Exo_endo_phos_2
PF03124	EXS family	EXS
PF06904	Extensin-like protein C-terminus	Extensin-like_C
PF02095	Extensin-like protein repeat	Extensin_1
PF04554	Extensin-like region	Extensin_2
PF11616	WD repeat binding protein EZH2	EZH2_WD-Binding
PF06160	Septation ring formation regulator, EzrA	EzrA
PF06752	Enhancer of Polycomb C-terminus	E_Pc_C
PF06360	Euplotes raikovi mating pheromone	E_raikovi_mat
PF09645	F-112 protein	F-112
PF01267	F-actin capping protein alpha subunit	F-actin_cap_A
PF00646	F-box domain	F-box
PF12937	F-box-like	F-box-like
PF13013	F-box-like domain	F-box-like_2
PF00469	Negative factor, (F-Protein) or Nef	F-protein
PF10791	Mitochondrial F1-F0 ATP synthase subunit F of fungi	F1F0-ATPsyn_F
PF01996	F420-0:Gamma-glutamyl ligase	F420_ligase
PF03807	NADP oxidoreductase coenzyme F420-dependent	F420_oxidored
PF00754	F5/8 type C domain	F5_F8_type_C
PF08736	FERM adjacent (FA)	FA
PF01557	Fumarylacetoacetate (FAA) hydrolase family	FAA_hydrolase
PF09298	Fumarylacetoacetase N-terminal	FAA_hydrolase_N
PF07977	FabA-like domain	FabA
PF14826	FACT complex subunit SPT16 N-terminal lobe domain	FACT-Spt16_Nlob
PF02913	FAD linked oxidases, C-terminal domain	FAD-oxidase_C
PF12318	Membrane bound FAD containing D-sorbitol dehydrogenase	FAD-SLDH
PF09403	Adhesion protein FadA	FadA
PF07840	FadR C-terminal domain	FadR_C
PF00667	FAD binding domain	FAD_binding_1
PF00890	FAD binding domain	FAD_binding_2
PF01494	FAD binding domain	FAD_binding_3
PF01565	FAD binding domain	FAD_binding_4
PF00941	FAD binding domain in molybdopterin dehydrogenase	FAD_binding_5
PF00970	Oxidoreductase FAD-binding domain	FAD_binding_6
PF03441	FAD binding domain of DNA photolyase	FAD_binding_7
PF08022	FAD-binding domain	FAD_binding_8
PF08021	Siderophore-interacting FAD-binding domain	FAD_binding_9
PF12831	FAD dependent oxidoreductase	FAD_oxidored
PF06574	FAD synthetase	FAD_syn
PF08714	Formaldehyde-activating enzyme (Fae)	Fae
PF08392	FAE1/Type III polyketide synthase-like protein	FAE1_CUT1_RppA
PF04703	FaeA-like protein	FaeA
PF06905	Fas apoptotic inhibitory molecule (FAIM1)	FAIM1
PF04385	Domain of unknown function, DUF529	FAINT
PF15068	FAM101 family	FAM101
PF15434	Family 104	FAM104
PF14160	Centrosome-associated C terminus	FAM110_C
PF14161	Centrosome-associated N terminus	FAM110_N
PF15388	Protein Family FAM117	FAM117
PF15067	FAM124 family	FAM124
PF15010	Putative cell signalling	FAM131
PF15129	FAM150 family	FAM150
PF15069	FAM163 family	FAM163
PF14981	FAM165 family	FAM165
PF14851	FAM176 family	FAM176
PF14774	FAM177 family	FAM177
PF14816	Family of unknown function, FAM178	FAM178
PF15173	FAM180 family	FAM180
PF15238	FAM181	FAM181
PF14886	FAM183A and FAM183B related	FAM183
PF14977	FAM194 protein	FAM194
PF14799	FAM195 family	FAM195
PF15265	FAM196 family	FAM196
PF15051	FAM198 protein	FAM198
PF15206	FAM209 family	FAM209
PF15342	FAM212 family	FAM212
PF15107	FAM216B protein family	FAM216B
PF15344	FAM217 family	FAM217
PF15260	Protein family FAM219A	FAM219A
PF15487	FAM220 family	FAM220
PF15258	Protein family of FAM222A	FAM222A
PF15193	FAM24 family	FAM24
PF14642	FAM47 family	FAM47
PF15242	Family of FAM53	FAM53
PF15396	Protein Family FAM60A	FAM60A
PF14967	FAM70 protein	FAM70
PF14976	FAM72 protein	FAM72
PF15026	FAM74 protein	FAM74
PF14650	FAM75 family	FAM75
PF14904	Family of unknown function	FAM86
PF14648	FAM91 C-terminus	FAM91_C
PF14647	FAM91 N-terminus	FAM91_N
PF06730	FAM92 protein	FAM92
PF15146	Fanconi anemia-associated	FANCAA
PF14631	Fanconi anaemia protein FancD2 nuclease	FancD2
PF11107	Fanconi anemia group F protein (FANCF)	FANCF
PF14679	FANCI helical domain 1	FANCI_HD1
PF14680	FANCI helical domain 2	FANCI_HD2
PF14675	FANCI solenoid 1	FANCI_S1
PF14674	FANCI solenoid 1 cap	FANCI_S1-cap
PF14676	FANCI solenoid 2	FANCI_S2
PF14677	FANCI solenoid 3	FANCI_S3
PF14678	FANCI solenoid 4	FANCI_S4
PF11793	FANCL C-terminal domain	FANCL_C
PF03511	Fanconi anaemia group A protein	Fanconi_A
PF02106	Fanconi anaemia group C protein	Fanconi_C
PF07174	Fibronectin-attachment protein (FAP)	FAP
PF01149	Formamidopyrimidine-DNA glycosylase N-terminal domain	Fapy_DNA_glyco
PF04750	FAR-17a/AIG1-like protein	Far-17a_AIG1
PF03101	FAR1 DNA-binding domain	FAR1
PF01581	FMRFamide related peptide family	FARP
PF02469	Fasciclin domain	Fasciclin
PF06268	Fascin domain	Fascin
PF06743	FAST kinase-like protein, subdomain 1	FAST_1
PF08368	FAST kinase-like protein, subdomain 2	FAST_2
PF02259	FAT domain	FAT
PF02260	FATC domain	FATC
PF00487	Fatty acid desaturase	FA_desaturase
PF03405	Fatty acid desaturase	FA_desaturase_2
PF11510	Fanconi Anaemia group E protein FANCE	FA_FANCE
PF04116	Fatty acid hydroxylase superfamily	FA_hydroxylase
PF02504	Fatty acid synthesis protein	FA_synthesis
PF04300	F-box associated region	FBA
PF07734	F-box associated	FBA_1
PF07735	F-box associated	FBA_2
PF08268	F-box associated domain	FBA_3
PF08387	FBD	FBD
PF07299	Fibronectin-binding protein (FBP)	FBP
PF05833	Fibronectin-binding protein A N-terminus (FbpA)	FbpA
PF00316	Fructose-1-6-bisphosphatase	FBPase
PF06874	Firmicute fructose-1,6-bisphosphatase	FBPase_2
PF01950	Fructose-1,6-bisphosphatase	FBPase_3
PF03320	Bacterial fructose-1,6-bisphosphatase, glpX-encoded	FBPase_glpX
PF07367	Fungal fruit body lectin	FB_lectin
PF08341	Fibronectin-binding protein signal sequence	Fb_signal
PF07729	FCD domain	FCD
PF04900	Fcf1	Fcf1
PF08698	Fcf2 pre-rRNA processing	Fcf2
PF00611	Fes/CIP4, and EFC/F-BAR homology domain	FCH
PF10862	FcoT-like thioesterase domain	FcoT
PF09309	FCP1, C-terminal	FCP1_C
PF09242	Flavocytochrome c sulphide dehydrogenase, flavin-binding	FCSD-flav_bind
PF12892	T surface-antigen of pili	FctA
PF15215	Follicular dendritic cell secreted peptide	FDC-SP
PF09532	FDF domain	FDF
PF02634	FdhD/NarQ family	FdhD-NarQ
PF04216	Protein involved in formate dehydrogenase formation	FdhE
PF11390	NADH-dependant formate dehydrogenase delta subunit FdsD	FdsD
PF05523	WxcM-like, C-terminal	FdtA
PF03147	Ferredoxin-fold anticodon binding domain	FDX-ACB
PF00465	Iron-containing alcohol dehydrogenase	Fe-ADH
PF13685	Iron-containing alcohol dehydrogenase	Fe-ADH_2
PF04384	Iron-sulphur cluster assembly	Fe-S_assembly
PF01521	Iron-sulphur cluster biosynthesis	Fe-S_biosyn
PF07692	Low iron-inducible periplasmic protein	Fea1
PF01032	FecCD transport family	FecCD
PF04773	FecR protein	FecR
PF09252	Allergen Fel d I-B chain	Feld-I_B
PF05666	Fels-1 Prophage Protein-like	Fels1
PF02388	FemAB family	FemAB
PF04023	FeoA domain	FeoA
PF07664	Ferrous iron transport protein B C terminus	FeoB_C
PF02421	Ferrous iron transport protein B	FeoB_N
PF09012	FeoC like transcriptional regulator	FeoC
PF00111	2Fe-2S iron-sulfur cluster binding domain	Fer2
PF01799	[2Fe-2S] binding domain	Fer2_2
PF13085	2Fe-2S iron-sulfur cluster binding domain	Fer2_3
PF13510	2Fe-2S iron-sulfur cluster binding domain	Fer2_4
PF04324	BFD-like [2Fe-2S] binding domain	Fer2_BFD
PF00037	4Fe-4S binding domain	Fer4
PF13237	4Fe-4S dicluster domain	Fer4_10
PF13247	4Fe-4S dicluster domain	Fer4_11
PF13353	4Fe-4S single cluster domain	Fer4_12
PF13370	4Fe-4S single cluster domain	Fer4_13
PF13394	4Fe-4S single cluster domain	Fer4_14
PF13459	4Fe-4S single cluster domain	Fer4_15
PF13484	4Fe-4S double cluster binding domain	Fer4_16
PF13534	4Fe-4S dicluster domain	Fer4_17
PF13746	4Fe-4S dicluster domain	Fer4_18
PF06902	Divergent 4Fe-4S mono-cluster	Fer4_19
PF12797	4Fe-4S binding domain	Fer4_2
PF14691	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster	Fer4_20
PF14697	4Fe-4S dicluster domain	Fer4_21
PF12798	4Fe-4S binding domain	Fer4_3
PF12800	4Fe-4S binding domain	Fer4_4
PF12801	4Fe-4S binding domain	Fer4_5
PF12837	4Fe-4S binding domain	Fer4_6
PF12838	4Fe-4S dicluster domain	Fer4_7
PF13183	4Fe-4S dicluster domain	Fer4_8
PF13187	4Fe-4S dicluster domain	Fer4_9
PF00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	Fer4_NifH
PF08165	FerA (NUC095) domain	FerA
PF08150	FerB (NUC096) domain	FerB
PF08151	FerI (NUC094) domain	FerI
PF09380	FERM C-terminal PH-like domain	FERM_C
PF00373	FERM central domain	FERM_M
PF09379	FERM N-terminal domain	FERM_N
PF01794	Ferric reductase like transmembrane component	Ferric_reduct
PF00210	Ferritin-like domain	Ferritin
PF12902	Ferritin-like	Ferritin-like
PF13668	Ferritin-like domain	Ferritin_2
PF00762	Ferrochelatase	Ferrochelatase
PF04060	Putative Fe-S cluster	FeS
PF08609	Nucleotide exchange factor Fes1	Fes1
PF02941	Ferredoxin thioredoxin reductase variable alpha chain	FeThRed_A
PF02943	Ferredoxin thioredoxin reductase catalytic beta chain	FeThRed_B
PF07763	FEZ-like protein	FEZ
PF06818	Fez1	Fez1
PF05996	Ferredoxin-dependent bilin reductase	Fe_bilin_red
PF01325	Iron dependent repressor, N-terminal DNA binding domain	Fe_dep_repress
PF02742	Iron dependent repressor, metal binding and dimerisation domain	Fe_dep_repr_C
PF02906	Iron only hydrogenase large subunit, C-terminal domain	Fe_hyd_lg_C
PF02256	Iron hydrogenase small subunit	Fe_hyd_SSU
PF01846	FF domain	FF
PF01839	FG-GAP repeat	FG-GAP
PF14312	FG-GAP repeat	FG-GAP_2
PF05013	N-formylglutamate amidohydrolase	FGase
PF03781	Sulfatase-modifying factor enzyme 1	FGE-sulfatase
PF00167	Fibroblast growth factor	FGF
PF06473	FGF binding protein 1 (FGF-BP1)	FGF-BP1
PF02782	FGGY family of carbohydrate kinases, C-terminal domain	FGGY_C
PF00370	FGGY family of carbohydrate kinases, N-terminal domain	FGGY_N
PF02181	Formin Homology 2 Domain	FH2
PF00498	FHA domain	FHA
PF00771	FHIPEP family	FHIPEP
PF06276	Ferric iron reductase FhuF-like transporter	FhuF
PF11575	FhuF 2Fe-2S C-terminal domain	FhuF_C
PF05427	Acidic fibroblast growth factor binding (FIBP)	FIBP
PF01269	Fibrillarin	Fibrillarin
PF10113	Fibrillarin-like archaeal protein	Fibrillarin_2
PF12160	Fibrinogen alpha C domain	Fibrinogen_aC
PF08017	Fibrinogen binding protein	Fibrinogen_BP
PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain	Fibrinogen_C
PF07921	Fibritin C-terminal region	Fibritin_C
PF07294	Fibroin P25	Fibroin_P25
PF08702	Fibrinogen alpha/beta chain family	Fib_alpha
PF09603	Fibrobacter succinogenes major domain (Fib_succ_major)	Fib_succ_major
PF02661	Fic/DOC family	Fic
PF13784	Fic/DOC family N-terminal	Fic_N
PF12351	Ca2+ regulator and membrane fusion protein Fig1	Fig1
PF13553	Function to find	FIIND
PF06837	Fijivirus P9-2 protein	Fijivirus_P9-2
PF05880	Fijivirus 64 kDa capsid protein	Fiji_64_capsid
PF03516	Filaggrin	Filaggrin
PF00038	Intermediate filament protein	Filament
PF04732	Intermediate filament head (DNA binding) region	Filament_head
PF00630	Filamin/ABP280 repeat	Filamin
PF01611	Filovirus glycoprotein	Filo_glycop
PF06389	Filovirus membrane-associated protein VP24	Filo_VP24
PF02097	Filoviridae VP35	Filo_VP35
PF05594	Haemagluttinin repeat	Fil_haemagg
PF13332	Haemagluttinin repeat	Fil_haemagg_2
PF09222	Fimbrial adhesin F17-AG, lectin domain	Fim-adh_lectin
PF00419	Fimbrial protein	Fimbrial
PF04449	CS1 type fimbrial major subunit	Fimbrial_CS1
PF02432	Fimbrial, major and minor subunit	Fimbrial_K88
PF14481	Type 4 fimbrial biogenesis protein PilY2	Fimbrial_PilY2
PF15495	Major fimbrial subunit protein type IV, Fimbrillin, C-terminal	Fimbrillin_C
PF09160	FimH, mannose binding	FimH_man-bind
PF09766	Fms-interacting protein	FimP
PF12602	Fertility inhibition protein N terminal	FinO_N
PF05182	Fip1 motif	Fip1
PF14853	Fis1 C-terminal tetratricopeptide repeat	Fis1_TPR_C
PF14852	Fis1 N-terminal tetratricopeptide repeat	Fis1_TPR_N
PF14484	Fish-specific NACHT associated domain	FISNA
PF08495	FIST N domain	FIST
PF10442	FIST C domain	FIST_C
PF07554	Uncharacterised Sugar-binding Domain	FIVAR
PF11614	IG-like fold at C-terminal of FixG, putative oxidoreductase	FixG_C
PF05751	FixH	FixH
PF02433	Cytochrome C oxidase, mono-heme subunit/FixO	FixO
PF14715	N-terminal domain of cytochrome oxidase-cbb3, FixP	FixP_N
PF05545	Cbb3-type cytochrome oxidase component FixQ	FixQ
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase	FKBP_C
PF01346	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase	FKBP_N
PF14288	1,3-beta-glucan synthase subunit FKS1, domain-1	FKS1_dom1
PF04620	Flagellar filament outer layer protein Flaa	FlaA
PF05377	Flagella accessory protein C (FlaC)	FlaC_arch
PF07559	Flagellar basal body protein FlaE	FlaE
PF07309	Flagellar protein FlaF	FlaF
PF03646	FlaG protein	FlaG
PF03614	Repressor of phase-1 flagellin	Flag1_repress
PF05149	Paraflagellar rod protein	Flagellar_rod
PF00700	Bacterial flagellin C-terminal helical region	Flagellin_C
PF08884	Flagellin D3 domain	Flagellin_D3
PF07196	Flagellin hook IN motif	Flagellin_IN
PF00669	Bacterial flagellin N-terminal helical region	Flagellin_N
PF01613	Flavin reductase like domain	Flavin_Reduct
PF01003	Flavivirus capsid protein C	Flavi_capsid
PF07652	Flavivirus DEAD domain	Flavi_DEAD
PF00869	Flavivirus glycoprotein, central and dimerisation domains	Flavi_glycoprot
PF02832	Flavivirus glycoprotein, immunoglobulin-like domain	Flavi_glycop_C
PF01004	Flavivirus envelope glycoprotein M	Flavi_M
PF00948	Flavivirus non-structural Protein NS1	Flavi_NS1
PF01005	Flavivirus non-structural protein NS2A	Flavi_NS2A
PF01002	Flavivirus non-structural protein NS2B	Flavi_NS2B
PF01350	Flavivirus non-structural protein NS4A	Flavi_NS4A
PF01349	Flavivirus non-structural protein NS4B	Flavi_NS4B
PF00972	Flavivirus RNA-directed RNA polymerase	Flavi_NS5
PF01570	Flavivirus polyprotein propeptide	Flavi_propep
PF00258	Flavodoxin	Flavodoxin_1
PF02525	Flavodoxin-like fold	Flavodoxin_2
PF12641	Flavodoxin domain	Flavodoxin_3
PF12682	Flavodoxin	Flavodoxin_4
PF12724	Flavodoxin domain	Flavodoxin_5
PF07972	NrdI Flavodoxin like	Flavodoxin_NdrI
PF01687	Riboflavin kinase	Flavokinase
PF02441	Flavoprotein	Flavoprotein
PF06289	Flagellar protein (FlbD)	FlbD
PF07378	Flagellar protein FlbT	FlbT
PF06490	Flagellar regulatory protein FleQ	FleQ
PF00286	Viral coat protein	Flexi_CP
PF08358	Carlavirus coat	Flexi_CP_N
PF03963	Flagellar hook capping protein - N-terminal region	FlgD
PF13860	FlgD Ig-like domain	FlgD_ig
PF13861	FlgD Tudor-like domain	FLgD_tudor
PF02107	Flagellar L-ring protein	FlgH
PF02119	Flagellar P-ring protein	FlgI
PF04316	Anti-sigma-28 factor, FlgM	FlgM
PF05130	FlgN protein	FlgN
PF06429	Flagellar basal body rod FlgEFG protein C-terminal	Flg_bbr_C
PF00460	Flagella basal body rod protein	Flg_bb_rod
PF02120	Flagellar hook-length control protein FliK	Flg_hook
PF09479	Listeria-Bacteroides repeat domain (List_Bact_rpt)	Flg_new
PF05280	Flagellar transcriptional activator (FlhC)	FlhC
PF05247	Flagellar transcriptional activator (FlhD)	FlhD
PF06366	Flagellar protein FlhE	FlhE
PF12445	Flagellin protein	FliC
PF12613	Flagellin structural protein	FliC_SP
PF07195	Flagellar hook-associated protein 2 C-terminus	FliD_C
PF02465	Flagellar hook-associated protein 2 N-terminus	FliD_N
PF02049	Flagellar hook-basal body complex protein FliE	FliE
PF01706	FliG C-terminal domain	FliG_C
PF14841	FliG middle domain	FliG_M
PF14842	FliG N-terminal domain	FliG_N
PF02108	Flagellar assembly protein FliH	FliH
PF02050	Flagellar FliJ protein	FliJ
PF03748	Flagellar basal body-associated protein FliL	FliL
PF10306	Hypothetical protein FLILHELTA	FLILHELTA
PF02154	Flagellar motor switch protein FliM	FliM
PF04347	Flagellar biosynthesis protein, FliO	FliO
PF00813	FliP family	FliP
PF02561	Flagellar protein FliS	FliS
PF05400	Flagellar protein FliT	FliT
PF02623	FliW protein	FliW
PF10768	Class II flagellar assembly regulator	FliX
PF10182	Flo11 domain	Flo11
PF00624	Flocculin repeat	Flocculin
PF13928	Flocculin type 3 repeat	Flocculin_t3
PF01698	Floricaula / Leafy protein	FLO_LFY
PF02662	Methyl-viologen-reducing hydrogenase, delta subunit	FlpD
PF05202	Recombinase Flp protein	Flp_C
PF04964	Flp/Fap pilin component	Flp_Fap
PF03930	Recombinase Flp protein N-terminus	Flp_N
PF02947	flt3 ligand	Flt3_lig
PF10109	Mu-like prophage FluMu protein gp41	FluMu_gp41
PF04772	Influenza B matrix protein 2 (BM2)	Flu_B_M2
PF02942	Influenza B non-structural protein (NS1)	Flu_B_NS1
PF03506	Influenza C non-structural protein (NS1)	Flu_C_NS1
PF03555	Influenza C non-structural protein (NS2)	Flu_C_NS2
PF00598	Influenza Matrix protein (M1)	Flu_M1
PF08289	Influenza Matrix protein (M1) C-terminal domain	Flu_M1_C
PF00599	Influenza Matrix protein (M2)	Flu_M2
PF00506	Influenza virus nucleoprotein	Flu_NP
PF00600	Influenza non-structural protein (NS1)	Flu_NS1
PF00601	Influenza non-structural protein (NS2)	Flu_NS2
PF00603	Influenza RNA-dependent RNA polymerase subunit PA	Flu_PA
PF00602	Influenza RNA-dependent RNA polymerase subunit PB1	Flu_PB1
PF00604	Influenza RNA-dependent RNA polymerase subunit PB2	Flu_PB2
PF14282	FlxA-like protein	FlxA
PF04500	FLYWCH zinc finger domain	FLYWCH
PF15423	FLYWCH-type zinc finger-containing protein	FLYWCH_N
PF03069	Acetamidase/Formamidase family	FmdA_AmdA
PF02663	FmdE, Molybdenum formylmethanofuran dehydrogenase operon	FmdE
PF04205	FMN-binding domain	FMN_bind
PF04299	Putative FMN-binding domain	FMN_bind_2
PF01070	FMN-dependent dehydrogenase	FMN_dh
PF03358	NADPH-dependent FMN reductase	FMN_red
PF00743	Flavin-binding monooxygenase-like	FMO-like
PF10344	Mitochondrial protein from FMP27	Fmp27
PF10347	RNA pol II promoter Fmp27 protein domain	Fmp27_GFWDK
PF10305	RNA pol II promoter Fmp27 protein domain	Fmp27_SW
PF10359	RNA pol II promoter Fmp27 protein domain	Fmp27_WPPW
PF07091	Ribosomal RNA methyltransferase (FmrO)	FmrO
PF00039	Fibronectin type I domain	fn1
